ts,size,n,m,p,totaltime
1717078787557,4,50,50,50,409
1717078789469,4,50,50,50,435
1717078791349,4,50,50,50,364
1717078793157,4,50,50,50,417
1717078795061,4,50,50,50,357
1717078796857,4,50,50,50,443
1717078798797,4,50,50,50,487
1717078800729,4,50,50,50,457
1717078802665,4,50,50,50,427
1717078804549,4,50,50,50,378
1717078806353,4,50,50,50,387
1717078808197,4,50,50,50,390
1717078810045,4,50,50,50,420
1717078811889,4,50,50,50,425
1717078813749,4,50,50,50,441
1717078815673,4,50,50,50,389
1717078817505,4,50,50,50,380
1717078819325,4,50,50,50,566
1717078821289,4,50,50,50,381
1717078823101,4,50,50,50,435
1717078825009,4,50,50,50,463
1717078826901,4,50,50,50,393
1717078828729,4,50,50,50,486
1717078830669,4,50,50,50,397
1717078832505,4,50,50,50,394
1717078834328,4,50,50,50,388
1717078836221,4,50,50,50,626
1717078838277,4,50,50,50,428
1717078840181,4,50,50,50,349
1717078841977,4,50,50,50,369
1717078843805,4,50,50,50,401
1717078845633,4,50,50,50,423
1717078847509,4,50,50,50,382
1717078849337,4,50,50,50,370
1717078851185,4,50,50,50,389
1717078853013,4,50,50,50,447
1717078854897,4,50,50,50,384
1717078856781,4,50,50,50,439
1717078858657,4,50,50,50,450
1717078860537,4,50,50,50,510
1717079358523,2,100,100,100,808
1717079360481,2,100,100,100,806
1717079362431,2,100,100,100,864
1717079364439,2,100,100,100,802
1717079366402,2,100,100,100,804
1717079368420,2,100,100,100,805
1717079370375,2,100,100,100,817
1717079372336,2,100,100,100,857
1717079374338,2,100,100,100,802
1717079376281,2,100,100,100,805
1717079378231,2,100,100,100,806
1717079380231,2,100,100,100,805
1717079382180,2,100,100,100,796
1717079384186,2,100,100,100,805
1717079386130,2,100,100,100,802
1717079388079,2,100,100,100,869
1717079390097,2,100,100,100,853
1717079392094,2,100,100,100,804
1717079394150,2,100,100,100,800
1717079396085,2,100,100,100,810
1717079398036,2,100,100,100,854
1717079400037,2,100,100,100,811
1717079401999,2,100,100,100,801
1717079404125,2,100,100,100,803
1717079406067,2,100,100,100,817
1717079408029,2,100,100,100,890
1717079410063,2,100,100,100,806
1717079412015,2,100,100,100,804
1717079414024,2,100,100,100,806
1717079415973,2,100,100,100,803
1717079417927,2,100,100,100,883
1717079419962,2,100,100,100,800
1717079421905,2,100,100,100,808
1717079423851,2,100,100,100,800
1717079425848,2,100,100,100,801
